obsid,video_id,year,n_rows,n_codeable_turns,n_teacher_turns,n_chars,shared_video_id,sha256
4075,545,3,57,57,29,8376,,64da08f37fd5b00f17a3d3ee5b44f40d6fd814408f5d51f666d695a9c8b5a70d
4076,538,3,363,363,187,27314,,3e3267e2e0d4a224eaa91c34994f240a263e17906e8e9c0c2c85a034487ec018
4077,543,3,238,238,112,22089,,1634497a11bd1602870d83f4f7725dae1a6fd1fa86a7c3ac1ec701b5a450f87e
4078,535,3,510,510,270,36901,,d88daa7f243c89e478db90a3e0df5bbc65d1b35698659692b6a25dc730fc6c8e
4079,505,3,765,765,388,42311,,2768e8f1ecb0e47e26331332539bab0a4094cc2dc9409fc7f282a7c582af41c1
4080,832,3,176,176,87,16698,,ce87c34fc1129d0edec74ace36dfa6f1a153aa268ec710ec0cb692e3b2b0caca
4081,799,3,273,273,133,22470,,cbe103a041ab903cf56c6aa263b296c05447c3559610949c8a6aea03350968a2
4082,315,3,462,462,212,23183,,a4f1593d962d2e84caeb8876055a447b2c0c0c9240356946fe658a0057968136
4083,314,3,102,102,51,14302,,d36093f66447462487f938b32b41b5adef036bd4a7a529e62bccebf620d6be64
4084,374,3,216,216,132,38217,,0f01ca612407157a0ce8e9edb97e4c60fdfa2a648e8662a87b8038e3416e17ac
4085,375,3,305,305,151,20095,,82a8232d900fcfe025276aa47f2255732928efd278f0b450ad64eb231c5810ae
4086,817,3,290,290,145,18330,,5d220eb8cb9665330a60d0e7210d3424d597ddbe9c7d2a12ca390cc81f0d4268
4087,348,3,219,219,108,31244,,bc4d0572698b908279860eca8bb4a4b3ce40c9b463dc0c2ad97684ea4a2b8d85
4088,332,3,226,226,111,26691,,6c5d4a415fbdf0528791b19671817417edfd0879848470846d7ec5b857a732f5
4089,351,3,309,309,153,28322,,090223bf2ccdef4cf8151568e6f4edf416093647777bc5cdba97f341d3a59689
4091,353,3,458,458,209,25602,,19ee94ea8112e02b77576c64006a6a03ffd7aabe789f9a6ff4ba43d119d5879e
4092,350,3,342,342,170,25919,,23ce24b164e13a2676c4a27e687d7296fbc39ab8e1224c3b939a8b303f801049
4093,818,3,225,225,112,17865,,7003febfcdfb2b12419260db59112975f7a0cd33505804d230c56c33906ad046
